# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
  144       4.405075556128e+03       1.189315840651e+00       0.000000000000e+00      -4.854300056542e+01       8.374687660518e-08       3.004483285209e-04      -1.764070479122e-06 
  145       4.441039119594e+03       1.186820983610e+00       0.000000000000e+00      -4.872020575654e+01       8.327353487565e-08       2.980600055717e-04      -1.749613578235e-06 
  146       4.476842427286e+03       1.183815795506e+00       0.000000000000e+00      -4.887385560652e+01       8.280111295611e-08       2.957047819579e-04      -1.735443815540e-06 
  147       4.512476938875e+03       1.180306158931e+00       0.000000000000e+00      -4.900356399751e+01       8.233074743564e-08       2.933841249501e-04      -1.721535127520e-06 
  148       4.547933847885e+03       1.176298737200e+00       0.000000000000e+00      -4.910895577738e+01       8.186345839161e-08       2.910990794391e-04      -1.707855782918e-06 
  149       4.583204076125e+03       1.171800988480e+00       0.000000000000e+00      -4.918966708180e+01       8.140013651708e-08       2.888502442245e-04      -1.694368131344e-06 
  150       4.618278268122e+03       1.166821179921e+00       0.000000000000e+00      -4.924534565643e+01       8.094152977930e-08       2.866377479051e-04      -1.681028348005e-06 
  151       4.653146785550e+03       1.161368401787e+00       0.000000000000e+00      -4.927565117901e+01       8.048822960270e-08       2.844612243707e-04      -1.667786174552e-06 
  152       4.687799701669e+03       1.155452581582e+00       0.000000000000e+00      -4.928025558149e+01       8.004065657004e-08       2.823197878969e-04      -1.654584656062e-06 
  153       4.722226795752e+03       1.149084498184e+00       0.000000000000e+00      -4.925884337219e+01       7.959904563513e-08       2.802120078408e-04      -1.641359874134e-06 
  154       4.756417547521e+03       1.142275795975e+00       0.000000000000e+00      -4.921111195788e+01       7.916343084058e-08       2.781358829397e-04      -1.628040676114e-06 
  155       4.790361131576e+03       1.135038998967e+00       0.000000000000e+00      -4.913677196598e+01       7.873362953412e-08       2.760888152108e-04      -1.614548400442e-06 
